Category,Action,Ambitious_renovator,HighDHN,HighElectrification,Biomass,Solar,SmartHeating,Allow_gas
Category A : Demand,reduction_of_demand,3,2,2,1,3,3,1
Category A : Demand,demand_response,2,1,3,1,1,3,1
Category B : Power generation,solar_fleet,2,2,3,1,3,1,1
Category B : Power generation,wind_offshore_fleet,1,1,1,1,1,1,1
Category B : Power generation,hydro_fleet,1,1,1,1,1,1,1
Category B : Power generation,geothermal_fleet,1,1,1,1,1,1,1
Category C : Heat generation,solar_thermal,2,2,1,1,3,2,1
Category C : Heat generation,biomass_boiler,1,2,1,3,1,1,1
Category C : Heat generation,gas_boiler,1,2,1,1,1,1,1
Category C : Heat generation,heat_pump,2,2,1,1,1,2,1
Category C : Heat generation,geothermal_heat,1,2,1,1,1,2,1
Category D : Biogas generation,methanisation,1,2,1,3,1,1,3
Category E : Combined heat and power generation,gas_chp,1,2,1,1,1,1,3
Category E : Combined heat and power generation,biomass_chp,1,2,1,3,1,1,1
Category F : Storage,battery_storage,1,1,1,2,1,1,1
Category F : Storage,heat_storage,1,3,1,2,1,3,1
Category F : Storage,gas_storage,1,1,1,1,1,1,3
Category G : Networks and transmissions,creation_of_dhn,1,3,1,2,1,2,1
Category G : Networks and transmissions,connection_to_the_dhn,1,3,1,2,1,2,1
Category G : Networks and transmissions,dhn_supplier,1,3,1,2,1,2,1
Category H : Electric vehicles,charging_station,1,1,3,1,1,1,1
Comments,"3- direct, 2- indirect,1-not necessarily  or not recommended",,,,,,,
