action_key,action,action_2,id,system_type_id,name,name_system_type,comments
22,grid,,79,1,grid,electricity_system_id,
5,hydro_fleet,,81,1,hydro_river,electricity_system_id,
3,solar_fleet,,83,1,pv,electricity_system_id,added to catalogue and it corresponds to solar for roof
12,methanisation,,85,1,waste_fleet,electricity_system_id,
4,wind_fleet,,134,1,wind_rooftop,electricity_system_id,
4,wind_fleet,,87,1,wind_offshore_low,electricity_system_id,
13,gas_chp,,88,1,chp_gas,electricity_system_id,
14,biomass_chp,,90,1,chp_biomass,electricity_system_id,
9,gas_boiler,,53,2,natural_gas_boiler_new_ind,heating_system_id,
9,gas_boiler,,54,2,natural_gas_boiler_new_cen,heating_system_id,
8,biomass_boiler,,57,2,biomass_automatic_stoking_new_ind,heating_system_id,
8,biomass_boiler,,58,2,biomass_automatic_stoking_new_cen,heating_system_id,
10,heat_pump,,63,2,heatpump_air_towater_new_ind,heating_system_id,added to catalogue and it corresponds to heat pump individual air water
10,heat_pump,,64,2,heatpump_air_towater_new_cen,heating_system_id,
10,heat_pump,,67,2,heatpump_brine_towater_new_ind,heating_system_id,
10,heat_pump,,68,2,heatpump_brine_towater_new_cen,heating_system_id,
7,solar_thermal,,71,2,solarheatingsystem_new_ind,heating_system_id,
7,solar_thermal,,72,2,solarheatingsystem_new_cen,heating_system_id,
25,electric_heater,,73,2,electricheaters_existing_or_new_ind,heating_system_id,
23,DHN,,76,2,ind_dhsubstationexisting_new_ind,heating_system_id,
23,DHN,,77,2,ind_dhsubstationexisting_new_cen,heating_system_id,
27,oil_boiler,,106,2,oil_fired_boiler_noncondensing_existing_ind,heating_system_id,
27,oil_boiler,,107,2,oil_fired_boiler_noncondensing_existing_cen,heating_system_id,
27,oil_boiler,,108,2,oil_fired_boiler_noncondensing_new_ind_bio_oil,heating_system_id,
27,oil_boiler,,109,2,oil_fired_boiler_noncondensing_new_cen_bio_oil,heating_system_id,
9,gas_boiler,,120,2,combi_boiler_gas_new_ind,heating_system_id,
9,gas_boiler,,122,2,combi_boiler_gas_new_cen,heating_system_id,
23,DHN,electric_heater,145,2,dhn_electricity,heating_system_id,
23,DHN,geothermal_heat,146,2,dhn_geothermal,heating_system_id,
23,DHN,heat_pump,147,2,dhn_heatpump,heating_system_id,
23,DHN,solar_thermal,148,2,dhn_solar,heating_system_id,
9,gas_boiler,,17,3,natural_gas_boiler_new_ind,dhw_system_id,
9,gas_boiler,,18,3,natural_gas_boiler_new_cen,dhw_system_id,
8,biomass_boiler,,21,3,biomass_automatic_stoking_new_ind,dhw_system_id,
8,biomass_boiler,,22,3,biomass_automatic_stoking_new_cen,dhw_system_id,
8,biomass_boiler,,25,3,woodstove_existing_or_new_ind_withoutwatertank,dhw_system_id,
8,biomass_boiler,,26,3,woodstove_existing_or_new_ind_withwatertank,dhw_system_id,
10,heat_pump,,31,3,heatpump_air_towater_new_ind,dhw_system_id,added to catalogue and it corresponds to heat pump individual air water
10,heat_pump,,32,3,heatpump_air_towater_new_cen,dhw_system_id,
10,heat_pump,,35,3,heatpump_brine_towater_new_ind,dhw_system_id,
10,heat_pump,,36,3,heatpump_brine_towater_new_cen,dhw_system_id,
7,solar_thermal,,39,3,solarheatingsystem_new_ind,dhw_system_id,
7,solar_thermal,,40,3,solarheatingsystem_new_cen,dhw_system_id,
25,electric_heater,,41,3,electricheaters_existing_or_new_ind,dhw_system_id,
23,DHN,,44,3,ind_dhsubstationexisting_ind_new_ind,dhw_system_id,
23,DHN,,45,3,ind_dhsubstationexisting_ind_new_cen,dhw_system_id,
9,gas_boiler,,128,3,combi_boiler_gas_new_ind,dhw_system_id,
9,gas_boiler,,130,3,combi_boiler_gas_new_cen,dhw_system_id,
23,DHN,biomass_boiler,151,3,dhn_boiler_biomass,dhw_system_id,
23,DHN,electric_heater,153,3,dhn_electricity,dhw_system_id,
23,DHN,geothermal_heat,154,3,dhn_geothermal,dhw_system_id,
23,DHN,heat_pump,155,3,dhn_heatpump,dhw_system_id,
23,DHN,solar_thermal,156,3,dhn_solar,dhw_system_id,
10,heat_pump,geothermal_heat,1,4,water_source_heat_pump,cooling_system_id,
10,heat_pump,,2,4,air_conditioner,cooling_system_id,
10,heat_pump,geothermal_heat,3,4,ground_source_heat_pump,cooling_system_id,
10,heat_pump,,4,4,freezer_compression_large,cooling_system_id,
10,heat_pump,,5,4,chiller_compression_large,cooling_system_id,
10,heat_pump,,6,4,chiller_compression_small,cooling_system_id,
10,heat_pump,solar_thermal,7,4,absorption_chilller_1stage,cooling_system_id,
10,heat_pump,solar_thermal,8,4,absorption_chilller_2stage,cooling_system_id,
24,DC,heat_pump,9,4,district_cooling,cooling_system_id,
26,other,,10,4,other,cooling_system_id,
16,heat_storage,,93,5,thermal_storage_lowtemp,storage,
15,battery_storage,,94,5,batteries,storage,
16,heat_storage,,95,5,thermal_storage_hightemp,storage,
28,hydrogen,,136,5,fuel_cell_small,storage,
28,hydrogen,,137,5,fuel_cell_large,storage,
28,hydrogen,,138,5,electrolyzer_alkaline,storage,
28,hydrogen,,139,5,electrolyzer_pem,storage,
28,hydrogen,,140,5,electrolyzer_high_temp,storage,
16,heat_storage,,141,5,cold_storage,storage,
